id,university_name
849,Choudhary Charan Singh University (Formerly Meerut University)
850,Dayalbagh Educational Institute
851,Deen Dayal Upadhyay Gorakhpur University
852,Dr. A.P.J. Abdul Kalam Technical University (Formerly Uttar Pradesh Technical University) Sector- 11
853,Dr Ram Manohar Lohia Awadh University
854,Dr. Ram Manohar Lohia Institute of Medical Sciences
855,Dr. Ram Manohar Lohiya National Law University
856,Dr. Shakuntala Misra National Rehabilitation University (Formerly Uttar Pradesh Viklang Uddhar Dr. Shakuntala Misra Vishwavidyalaya)
857,Era University
858,F.S. University
859,G.L.A. University
860,Galgotias University
861,Gautam Buddha University
862,Harcourt Butler Technical University
863,IIMT University
864,Indian Veterinary Research Institute
865,IFTM University
866,Integral University
867,Invertis University
868,Jagadguru Rambhadracharya Divyang University (Formerly Jagadguru Rambhadracharya Handicapped university)
869,Jannayak Chandrashekhar University
870,Jaypee Institute of Information Technology
871,Jaypee University
872,J.S. University
873,Khwaja Moinuddin Chishti Urdu
874,King George Medical University
875,Madan Mohan Malviya University of Technology
876,Maa Shakumbhari University
